TeamId	PlayerId	IsCurrentPlayer	GameStarted	SubOn	SubOff	Yellow	SecondYellow	Red	Goals	Assists	TotalPasses	AccuratePasses	AerialWon	AerialLost	Rating	ManOfTheMatch	TotalTackles	Interceptions	Fouls	OffsidesWon	TotalClearances	WasDribbled	TotalShots	ShotsOnTarget	ShotsBlocked	OwnGoals	KeyPasses	Dribbles	WasFouled	Offsides	Dispossesed	Turnovers	TotalCrosses	AccurateCrosses	TotalLongBalls	AccurateLongBalls	TotalThroughBalls	AccurateThroughBalls	RegionCode	TeamRegionCode	TeamName	PositionText	PlayedPositionsRaw	Height	Weight	FirstName	LastName	KnownName	WSName	DateOfBirth	Ranking	PositionShort	PositionLong	Name	Age
1239	14149	TRUE	1	0	0	0	0	0	0	0	28	18	1	0	8.35	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	17	7	0	0	br	br	Flamengo	Goalkeeper	-GK-	186	80	Julio Cesar	Soares de Espindola	Julio César	NA	1979-09-02	1	GK	Goalkeeper	Julio César	39
1239	319756	FALSE	31	1	4	7	1	1	10	1	1634	1365	79	68	7.546875	4	79	30	63	1	48	46	95	40	6	0	41	55	94	2	72	65	36	13	104	75	19	5	br	br	Flamengo	Midfielder	-AMC-FW-	180	72	Lucas	Tolentino Coelho de Lima	Lucas Paquetá	NA	1997-08-26	2	AM(C),FW	Attacking Midfielder (Centre) / Forward	Lucas Paquetá	21
1239	114105	TRUE	33	1	1	7	0	0	2	5	2092	1740	64	49	7.465882352941177	6	85	80	35	2	95	45	18	10	14	0	44	29	37	1	24	32	104	23	197	113	2	2	br	br	Flamengo	Defender	-DL-	174	69	Rene	Rodrigues Martins	Renê	NA	1992-09-13	3	D(L)	Defender (Left)	Renê	26
1239	40671	FALSE	26	0	2	1	0	0	2	0	1262	1120	97	35	7.265000000000001	0	24	32	11	7	138	15	25	5	30	0	3	9	26	0	5	9	0	0	170	104	0	0	br	br	Flamengo	Defender	-DC-	192	84	Réver Humberto	Alves de Araújo	Réver	Réver	1985-01-03	4	D(C)	Defender (Centre)	Réver	34
1239	337782	FALSE	11	1	5	3	0	0	4	3	285	230	0	2	7.264166666666667	1	9	4	8	0	3	25	32	17	0	0	13	31	27	2	22	28	30	3	6	3	2	1	br	br	Flamengo	Forward	-AML-	177	73	Vinicius José	Paixão de Oliveira Júnior	Vinícius Júnior	NA	2000-07-11	5	AM(L)	Attacking Midfielder (Left)	Vinícius Júnior	18
1239	101467	TRUE	34	1	16	5	0	1	6	5	1695	1409	29	35	7.261142857142858	5	59	36	49	0	12	41	57	23	3	0	62	69	65	2	62	70	115	28	81	58	9	4	br	br	Flamengo	Midfielder	-AMC-AML-AMR-	174	69	Everton Augusto	de Barros Ribeiro	Everton Ribeiro	NA	1989-04-09	6	AM(CLR)	Attacking Midfielder (Centre, Left, Right)	Everton Ribeiro	30
1239	114098	TRUE	19	3	14	2	0	0	3	5	580	430	21	37	7.238636363636363	1	40	11	39	0	8	20	61	19	2	0	38	43	27	3	28	33	139	38	44	23	7	2	br	br	Flamengo	Midfielder	-AMC-AML-AMR-FW-	180	76	Victor Vinicius	Coelho Santos	Vitinho	NA	1993-10-08	7	AM(CLR),FW	Attacking Midfielder (Centre, Left, Right) / Forward	Vitinho	25
1239	7417	TRUE	22	4	5	10	0	1	6	3	1201	1033	8	15	7.218846153846153	3	38	12	38	0	11	44	51	15	5	0	64	37	81	8	25	37	126	41	99	64	13	7	br	br	Flamengo	Midfielder	-AMC-AML-AMR-	173	73	Diego	Ribas da Cunha	Diego	NA	1985-02-27	8	AM(CLR)	Attacking Midfielder (Centre, Left, Right)	Diego	34
1239	97813	TRUE	4	2	1	0	0	0	0	4	218	174	1	9	7.051666666666667	2	11	2	8	0	2	4	3	1	2	0	10	4	2	0	2	2	26	6	30	11	0	0	pe	br	Flamengo	Defender	-DL-	170	62	Miguel	Trauco	NA	NA	1992-08-24	9	D(L)	Defender (Left)	Miguel Trauco	26
1239	347921	TRUE	5	2	0	1	0	0	1	0	269	236	14	6	7.051428571428572	0	15	14	6	3	26	2	2	1	5	0	0	2	2	0	0	1	0	0	30	13	0	0	br	br	Flamengo	Defender	-DC-	187	81	Matheus	Soares Thuler	Thuler	NA	1999-03-09	10	D(C)	Defender (Centre)	Thuler	20
1239	121184	TRUE	23	5	1	3	0	0	1	2	969	859	18	35	7.010714285714285	0	47	26	16	5	55	10	21	8	8	0	25	36	32	1	12	27	109	15	50	27	1	1	br	br	Flamengo	Defender	-DR-	175	70	Rodinei Marcelo	de Almeida	Rodinei	NA	1992-01-28	11	D(R)	Defender (Right)	Rodinei	27
1239	317652	TRUE	33	0	1	3	0	0	1	0	1293	1160	83	52	6.991818181818182	0	41	36	27	12	120	6	15	3	24	0	4	14	17	0	5	9	1	0	119	58	0	0	br	br	Flamengo	Defender	-DC-	183	76	Leonardo	Campos Duarte da Silva	Léo Duarte		1996-07-16	12	D(C)	Defender (Centre)	Léo Duarte	22
1239	30641	TRUE	23	0	0	2	0	0	0	0	570	421	7	1	6.962173913043478	1	0	1	0	0	12	0	0	0	0	0	1	2	6	0	0	0	0	0	287	143	0	0	br	br	Flamengo	Goalkeeper	-GK-	187	83	Diego	Alves Carreira	Diego Alves	NA	1985-06-23	13	GK	Goalkeeper	Diego Alves	33
1239	317653	TRUE	27	1	3	6	0	3	0	2	1581	1458	7	12	6.922142857142857	0	110	47	59	0	23	40	9	3	2	0	11	12	15	0	20	31	6	1	126	100	1	1	co	br	Flamengo	Midfielder	-DMC-	177	76	Gustavo	Cuéllar	NA	NA	1992-10-13	14	DMC	Defensive Midfielder (C)	Gustavo Cuéllar	26
1239	101341	TRUE	14	0	0	1	0	0	0	0	299	176	6	1	6.893571428571428	1	0	0	0	0	12	0	0	0	0	0	0	0	5	0	0	2	0	0	183	63	0	0	br	br	Flamengo	Goalkeeper	-GK-	194	73	César Bernardo	Dutra	César	NA	1992-01-26	15	GK	Goalkeeper	César	27
1239	29461	TRUE	9	3	1	0	0	1	1	0	401	356	29	11	6.8758333333333335	0	11	7	2	3	45	3	6	3	7	0	3	2	3	1	1	4	1	0	59	33	0	0	br	br	Flamengo	Defender	-DC-	193	82	Luiz Rhodolfo	Dini Gaioto	Rhodolfo	Rhodolfo	1986-08-10	16	D(C)	Defender (Centre)	Rhodolfo	32
1239	3729	TRUE	4	0	0	1	0	0	0	0	181	152	11	2	6.8325	0	5	10	1	2	23	2	2	0	3	0	1	0	1	0	1	1	0	0	26	11	0	0	br	br	Flamengo	Defender	-DC-	182	74	Juan	Silveira dos Santos	Juan	NA	1979-01-31	17	D(C)	Defender (Centre)	Juan	40
1239	79997	TRUE	16	4	10	1	0	0	6	2	321	238	37	39	6.793499999999999	3	16	2	12	1	9	10	35	11	1	0	16	3	11	6	19	23	1	0	3	0	2	2	co	br	Flamengo	Forward	-FW-	181	78	Fernando	Uribe	NA	NA	1987-12-31	18	FW	Forward	Fernando Uribe	31
1239	44488	TRUE	16	4	5	4	0	0	0	1	812	710	23	28	6.786499999999999	0	25	27	30	3	49	10	5	2	3	0	17	1	22	2	4	13	58	10	74	44	2	1	br	br	Flamengo	Defender	-DL-DR-MR-	172	70	Marcos Rogerio	Ricci Lopes	Pará	Pará	1986-02-13	19	D(LR),M(R)	Defender (Left, Right) / Midfielder (Right)	Pará	33
1239	110695	TRUE	15	8	3	4	1	1	2	2	656	554	29	32	6.756086956521741	0	44	30	34	1	22	26	18	3	7	0	14	6	18	1	6	16	36	6	37	26	3	1	br	br	Flamengo	Midfielder	-MC-	181	74	Willian Souza	Arao da Silva	Willian Arão	NA	1992-03-11	20	M(C)	Midfielder (Centre)	Willian Arão	27
1239	317654	FALSE	1	4	1	2	0	0	3	0	30	27	2	10	6.645999999999999	0	0	0	1	0	0	0	6	5	0	0	1	2	1	0	2	6	0	0	1	1	0	0	br	br	Flamengo	Forward	-FW-	185	83	Felipe	Dos Reis Pereira Vizeu Do Carmo	Felipe Vizeu	NA	1997-03-11	21	FW	Forward	Felipe Vizeu	22
1239	279510	FALSE	4	3	1	2	0	1	0	0	148	125	11	6	6.637142857142857	0	26	4	7	0	14	8	6	1	1	0	2	1	2	0	4	2	0	0	19	14	0	0	br	br	Flamengo	Midfielder	-DMC-	180	79	Jonas	Gomes de Sousa	Jonas	NA	1991-10-07	22	DMC	Defensive Midfielder (C)	Jonas	27
1239	6797	FALSE	4	2	2	0	0	0	1	1	94	75	13	16	6.625	0	3	0	10	0	2	6	15	4	0	0	4	4	11	2	11	15	3	0	1	1	0	0	pe	br	Flamengo	Forward	-FW-	185	82	José Paolo	Guerrero	Paolo Guerrero	Paolo Guerrero	1983-12-31	23	FW	Forward	Paolo Guerrero	35
1239	279522	FALSE	3	2	3	0	0	0	1	0	87	71	0	2	6.514	0	6	3	4	0	1	6	6	3	0	0	2	2	1	0	5	9	9	2	4	2	0	0	br	br	Flamengo	Midfielder	-AML-	172	66	Matheus	Gonçalves Sávio	Matheus Sávio	NA	1997-04-14	24	AM(L)	Attacking Midfielder (Left)	Matheus Sávio	22
1239	110344	FALSE	3	9	3	2	0	0	0	1	161	138	4	12	6.492500000000001	0	7	7	13	0	4	7	10	4	1	0	11	8	2	1	9	14	17	5	2	1	0	0	br	br	Flamengo	Midfielder	-AML-AMR-FW-	175	70	Geuvânio	Santos Silva	Geuvânio	NA	1992-04-04	25	AM(LR),FW	Attacking Midfielder (Left, Right) / Forward	Geuvânio	27
1239	130841	FALSE	17	4	15	6	0	1	6	0	151	114	15	45	6.4747619047619045	0	11	2	35	0	8	6	21	8	0	0	4	3	30	7	27	23	2	0	5	5	2	0	br	br	Flamengo	Forward	-FW-	186	80	José Henrique	da Silva Dourado	Henrique Dourado	NA	1989-09-14	26	FW	Forward	Henrique Dourado	29
