# idh: Índice de Desenvolvimento Humano (IDH) (2000);
# renda: Renda per capita (2000);
# anfab: Alfabetizados - pessoas 15 anos e mais (2000);
???Sigla;Código;Município;idh;renda;alfab;
AC;1200013;Acrelândia;;136,539;73,309;
AC;1200054;Assis Brasil;;115,16;70,954;
AC;1200104;Brasiléia;;132,383;75,493;
AC;1200138;Bujari;;118,815;61,23;
AC;1200179;Capixaba;;108,164;62,283;
AC;1200203;Cruzeiro do Sul;;140,199;71,548;
AC;1200252;Epitaciolândia;;134,364;75,381;
AC;1200302;Feijó;;64,546;47,41;
AC;1200328;Jordão;;34,527;39,339;
AC;1200336;Mâncio Lima;;95,012;68,362;
AC;1200344;Manoel Urbano;;91,65;54,244;
AC;1200351;Marechal Thaumaturgo;;51,68;47,37;
AC;1200385;Plácido de Castro;;114,435;75,255;
AC;1200393;Porto Walter;;69,52;48,388;
AC;1200401;Rio Branco;;264,433;85,995;
AC;1200427;Rodrigues Alves;;65,194;50,15;
AC;1200435;Santa Rosa do Purus;;45,117;43,16;
AC;1200450;Senador Guiomard;;152,534;73,838;
AC;1200500;Sena Madureira;;107,644;65,972;
AC;1200609;Tarauacá;;91,973;58,513;
AC;1200708;Xapuri;;122,962;70,637;
AC;1200807;Porto Acre;;110,634;68,579;
AL;2700102;Água Branca;;69,936;59,273;
AL;2700201;Anadia;;85,302;57,993;
AL;2700300;Arapiraca;;129,207;69,596;
AL;2700409;Atalaia;;75,91;56,486;
AL;2700508;Barra de Santo Antônio;;68,398;57,285;
AL;2700607;Barra de São Miguel;;108,927;63,831;
AL;2700706;Batalha;;119,851;57,619;
AL;2700805;Belém;;69,912;59,321;
AL;2700904;Belo Monte;;59,404;52,11;
AL;2701001;Boca da Mata;;85,006;63,508;
AL;2701100;Branquinha;;58,419;45,359;
AL;2701209;Cacimbinhas;;69,761;49,21;
AL;2701308;Cajueiro;;63,151;53,279;
AL;2701357;Campestre;;73,037;60,664;
AL;2701407;Campo Alegre;;66,305;59,477;
AL;2701506;Campo Grande;;58,508;46,967;
AL;2701605;Canapi;;43,352;47,364;
AL;2701704;Capela;;72,177;54,612;
AL;2701803;Carneiros;;61,277;60,566;
AL;2701902;Chã Preta;;62,213;55,43;
AL;2702009;Coité do Nóia;;62,863;53,766;
AL;2702108;Colônia Leopoldina;;76,174;58,116;
AL;2702207;Coqueiro Seco;;94,643;64,305;
AL;2702306;Coruripe;;92,477;63,612;
AL;2702355;Craíbas;;57,91;49,105;
AL;2702405;Delmiro Gouveia;;110,1;68,999;
AL;2702504;Dois Riachos;;72,809;50,688;
AL;2702553;Estrela de Alagoas;;50,607;50,939;
AL;2702603;Feira Grande;;68,2;50,322;
AL;2702702;Feliz Deserto;;74,455;57,137;
AL;2702801;Flexeiras;;64,342;53,517;
AL;2702900;Girau do Ponciano;;54,849;49,253;
AL;2703007;Ibateguara;;71,705;50,362;
AL;2703106;Igaci;;47,942;52,706;
AL;2703205;Igreja Nova;;57,486;51,297;
AL;2703304;Inhapi;;50,405;47,215;
AL;2703403;Jacaré dos Homens;;97,353;56,013;
AL;2703502;Jacuípe;;57,698;51,501;
AL;2703601;Japaratinga;;81,453;60,99;
AL;2703700;Jaramataia;;68,347;53,711;
AL;2703759;Jequiá da Praia;;;;
AL;2703809;Joaquim Gomes;;61,095;50,155;
AL;2703908;Jundiá;;61,721;53,288;
AL;2704005;Junqueiro;;81,1;58,782;
AL;2704104;Lagoa da Canoa;;61,678;55,381;
AL;2704203;Limoeiro de Anadia;;63,32;53,35;
AL;2704302;Maceió;;282,991;83,126;
AL;2704401;Major Isidoro;;62,861;51,335;
AL;2704500;Maragogi;;72,425;59,865;
AL;2704609;Maravilha;;48,214;55,105;
AL;2704708;Marechal Deodoro;;111,104;66,009;
AL;2704807;Maribondo;;100,253;61,709;
AL;2704906;Mar Vermelho;;71,663;60,998;
AL;2705002;Mata Grande;;60,854;49,987;
AL;2705101;Matriz de Camaragibe;;65,618;57,58;
AL;2705200;Messias;;74,336;61,284;
AL;2705309;Minador do Negrão;;63,661;49,11;
AL;2705408;Monteirópolis;;80,603;52,708;
AL;2705507;Murici;;76,961;56,537;
AL;2705606;Novo Lino;;65,104;51,734;
AL;2705705;Olho d'Água das Flores;;92,289;60,805;
AL;2705804;Olho d'Água do Casado;;50,357;51,726;
AL;2705903;Olho d'Água Grande;;48,345;47,468;
AL;2706000;Olivença;;45,525;53,468;
AL;2706109;Ouro Branco;;66,294;62,759;
AL;2706208;Palestina;;62,324;61,415;
AL;2706307;Palmeira dos Índios;;117,271;67,548;
AL;2706406;Pão de Açúcar;;85,242;59;
AL;2706422;Pariconha;;52,683;55,725;
AL;2706448;Paripueira;;85,246;66,884;
AL;2706505;Passo de Camaragibe;;67,878;52,723;
AL;2706604;Paulo Jacinto;;66,889;59,996;
AL;2706703;Penedo;;125,91;69,832;
AL;2706802;Piaçabuçu;;82,96;60,962;
AL;2706901;Pilar;;89,037;62,934;
AL;2707008;Pindoba;;66,55;49,706;
AL;2707107;Piranhas;;89,374;61,188;
AL;2707206;Poço das Trincheiras;;37,608;48,967;
AL;2707305;Porto Calvo;;68,165;60,525;
AL;2707404;Porto de Pedras;;52,193;48,197;
AL;2707503;Porto Real do Colégio;;60,905;55,638;
AL;2707602;Quebrangulo;;74,717;53,731;
AL;2707701;Rio Largo;;112,41;73,014;
AL;2707800;Roteiro;;64,805;50,471;
AL;2707909;Santa Luzia do Norte;;85,9;70,167;
AL;2708006;Santana do Ipanema;;94,669;61,269;
AL;2708105;Santana do Mundaú;;65,57;49,578;
AL;2708204;São Brás;;64,617;56,855;
AL;2708303;São José da Laje;;85,15;57,034;
AL;2708402;São José da Tapera;;43,492;49,751;
AL;2708501;São Luís do Quitunde;;70,113;53,419;
AL;2708600;São Miguel dos Campos;;121,78;67,923;
AL;2708709;São Miguel dos Milagres;;79,886;61,554;
AL;2708808;São Sebastião;;71,01;50,198;
AL;2708907;Satuba;;129,553;77,01;
AL;2708956;Senador Rui Palmeira;;41,426;50,157;
AL;2709004;Tanque d'Arca;;66,335;51,483;
AL;2709103;Taquarana;;63,425;52,523;
AL;2709152;Teotônio Vilela;;82,563;59,434;
AL;2709202;Traipu;;42,034;46,87;
AL;2709301;União dos Palmares;;91,359;56,303;
AL;2709400;Viçosa;;90,905;58,117;
AM;1300029;Alvarães;;91,949;74,927;
AM;1300060;Amaturá;;68,124;73,703;
AM;1300086;Anamã;;96,833;76,079;
AM;1300102;Anori;;91,119;74,426;
AM;1300144;Apuí;;130,077;80,083;
AM;1300201;Atalaia do Norte;;74,947;49,723;
AM;1300300;Autazes;;87,615;79,621;
AM;1300409;Barcelos;;68,854;56,748;
AM;1300508;Barreirinha;;61,809;82,737;
AM;1300607;Benjamin Constant;;76,275;72,186;
AM;1300631;Beruri;;67,953;62,159;
AM;1300680;Boa Vista do Ramos;;60,537;88,954;
AM;1300706;Boca do Acre;;92,579;63,021;
AM;1300805;Borba;;60,606;78,865;
AM;1300839;Caapiranga;;78,016;73,371;
AM;1300904;Canutama;;63,906;60,304;
AM;1301001;Carauari;;81,395;57,156;
AM;1301100;Careiro;;72,411;74,387;
AM;1301159;Careiro da Várzea;;84,488;78,136;
AM;1301209;Coari;;81,17;68,483;
AM;1301308;Codajás;;70,897;70,611;
AM;1301407;Eirunepé;;69,857;52,909;
AM;1301506;Envira;;43,721;48,072;
AM;1301605;Fonte Boa;;44,085;59,4;
AM;1301654;Guajará;;36,956;48,908;
AM;1301704;Humaitá;;134,356;75,016;
AM;1301803;Ipixuna;;39,572;46,624;
AM;1301852;Iranduba;;113,849;79,236;
AM;1301902;Itacoatiara;;117,289;87,642;
AM;1301951;Itamarati;;48,227;40,048;
AM;1302009;Itapiranga;;78;90,39;
AM;1302108;Japurá;;54,659;65,866;
AM;1302207;Juruá;;74,196;59,838;
AM;1302306;Jutaí;;60,786;54,899;
AM;1302405;Lábrea;;66,464;58,672;
AM;1302504;Manacapuru;;101,233;78,128;
AM;1302553;Manaquiri;;110,052;77,149;
AM;1302603;Manaus;;262,397;93,906;
AM;1302702;Manicoré;;70,256;72,788;
AM;1302801;Maraã;;56,698;63,469;
AM;1302900;Maués;;96,111;84,609;
AM;1303007;Nhamundá;;69,016;84,465;
AM;1303106;Nova Olinda do Norte;;70,892;75,834;
AM;1303205;Novo Airão;;93,272;79,833;
AM;1303304;Novo Aripuanã;;70,146;71,182;
AM;1303403;Parintins;;91,727;90,56;
AM;1303502;Pauini;;73,399;48,319;
AM;1303536;Presidente Figueiredo;;188,227;87,869;
AM;1303569;Rio Preto da Eva;;107,895;80,766;
AM;1303601;Santa Isabel do Rio Negro;;56,117;62,739;
AM;1303700;Santo Antônio do Içá;;46,487;58,342;
AM;1303809;São Gabriel da Cachoeira;;106,61;76,85;
AM;1303908;São Paulo de Olivença;;50,539;58,461;
AM;1303957;São Sebastião do Uatumã;;72,925;86,842;
AM;1304005;Silves;;73,013;88,375;
AM;1304062;Tabatinga;;142,079;78,332;
AM;1304104;Tapauá;;47,726;53,989;
AM;1304203;Tefé;;117,549;79,361;
AM;1304237;Tonantins;;58,125;69,409;
AM;1304260;Uarini;;72,819;68,021;
AM;1304302;Urucará;;132,73;86,591;
AM;1304401;Urucurituba;;64,695;86,825;
AP;1600055;Serra do Navio;;146,382;88,796;
AP;1600105;Amapá;;135,432;82,842;
AP;1600154;Pedra Branca do Amaparí;;88,369;73,589;
AP;1600204;Calçoene;;136,15;83,565;
AP;1600212;Cutias;;77,429;82,17;
AP;1600238;Ferreira Gomes;;107,193;82,291;
AP;1600253;Itaubal;;83,036;80,909;
AP;1600279;Laranjal do Jari;;157,433;83,556;
AP;1600303;Macapá;;253,689;90,956;
AP;1600402;Mazagão;;87,178;70,959;
AP;1600501;Oiapoque;;257,93;82,807;
AP;1600535;Porto Grande;;146,452;79,969;
AP;1600550;Pracuúba;;91,446;81,855;
AP;1600600;Santana;;162,387;85,633;
AP;1600709;Tartarugalzinho;;89,978;80,06;
AP;1600808;Vitória do Jari;;115,851;81,814;
BA;2900108;Abaíra;;102,114;76,112;
BA;2900207;Abaré;;79,876;66,945;
BA;2900306;Acajutiba;;80,284;69,619;
BA;2900355;Adustina;;85,811;54,496;
BA;2900405;Água Fria;;58,146;60,004;
BA;2900504;Érico Cardoso;;74,34;55,126;
BA;2900603;Aiquara;;86,139;67,36;
BA;2900702;Alagoinhas;;181,264;85,71;
BA;2900801;Alcobaça;;116,631;69,694;
BA;2900900;Almadina;;84,976;65,382;
BA;2901007;Amargosa;;123,574;71,981;
BA;2901106;Amélia Rodrigues;;125,663;83,003;
